08:08:18.566 [main] INFO com.opsmx.AuditClientServiceApplication -- Starting Audit client service...

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/violations/applications/count]}
2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/gates/bydate]}
2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/policies]}
2024-10-18T08:08:33.051Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/gates/hourwise]}
2024-10-18T08:08:33.051Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/cddashboard/widgetChartData/download], produces [text/csv]}
2024-10-18T08:08:33.051Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : { [/error]}
2024-10-18T08:08:33.051Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/v3/api-docs], produces [application/json]}
2024-10-18T08:08:33.051Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/auditUsers/summary]}
2024-10-18T08:08:33.051Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipelineconfig]}
2024-10-18T08:08:33.051Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/applications/active/datewise]}
2024-10-18T08:08:33.053Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/pipeline/executions/getRefIdToStagePositions]}
2024-10-18T08:08:33.054Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/gates/datewise]}
2024-10-18T08:08:33.054Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/policies/download], produces [text/csv]}
2024-10-18T08:08:33.054Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/applications]}
2024-10-18T08:08:33.054Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipelineConfigHistory/{pipelineConfigId}]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/swagger-ui.html]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/cddashboard/widgetChartData/download], produces [text/csv]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/pipelineconfig/summary]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/pipelineconfig/download]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/policies]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : { [/error], produces [text/html]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/v3/api-docs.yaml], produces [application/vnd.oai.openapi]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/auditUsers]}
2024-10-18T08:08:33.055Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/policies]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/cddashboard/widgetChartData], produces [application/json]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/cddashboard/widgetRawData], produces [application/json]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/applications/{appName}/pipelineFailuresCounts]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/policieSummary]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/pipelineconfig]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipelineconfig/summary]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/pipeline/download]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipeline/download]}
2024-10-18T08:08:33.056Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/pipeline/execution/summary]}
2024-10-18T08:08:33.057Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/pipeline]}
2024-10-18T08:08:33.057Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipeline/execution/summary]}
2024-10-18T08:08:33.057Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users]}
2024-10-18T08:08:33.057Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/applications/{applicationName}/pipelines/{pipelineName}/executions/{executionId}/stages/{refId}/position]}
2024-10-18T08:08:33.057Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/pipelines/active/hourwise]}
2024-10-18T08:08:33.057Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/pipelines/active/datewise]}
2024-10-18T08:08:33.057Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/stagesdetails/{pipelineexecutionauditeventsid}]}
2024-10-18T08:08:33.058Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/count/hourwise]}
2024-10-18T08:08:33.058Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/count/datewise]}
